Province,Luas_Panen_ha,Produktivitas_ku_ha,Produksi_ton,Year,Productivity_per_ton,Production_efficiency
SUMATERA SELATAN,581574.61,51.48,2994191.84,2018,5.148,5.14842255579211
JAWA BARAT,1707253.81,56.51,9647358.75,2018,5.651,5.650805225029781
JAWA TENGAH,1821983.17,57.63,10499588.23,2018,5.763,5.762725146357966
JAWA TIMUR,1751191.67,58.26,10203213.17,2018,5.826,5.826439986435066
SULAWESI SELATAN,1185484.1,50.21,5952616.45,2018,5.021,5.021253722424451
SUMATERA SELATAN,539316.52,48.27,2603396.24,2019,4.827,4.827213970749496
JAWA BARAT,1578835.7,57.54,9084957.22,2019,5.754,5.754213196471299
JAWA TENGAH,1678479.21,57.53,9655653.98,2019,5.753,5.752620540352121
JAWA TIMUR,1702426.36,56.28,9580933.88,2019,5.628,5.627811049636239
SULAWESI SELATAN,1010188.75,50.03,5054166.96,2019,5.003,5.003190700747756
SUMATERA SELATAN,551320.76,49.75,2743059.68,2020,4.975,4.975433321248414
JAWA BARAT,1586888.63,56.82,9016772.58,2020,5.682,5.682044983837335
JAWA TENGAH,1666931.49,56.93,9489164.62,2020,5.693,5.6925942529287745
JAWA TIMUR,1754380.3,56.68,9944538.26,2020,5.668,5.668405111480105
SULAWESI SELATAN,976258.14,48.23,4708464.97,2020,4.8229999999999995,4.822971278887365
SUMATERA SELATAN,496241.65,51.44,2552443.19,2021,5.144,5.143548893971314
JAWA BARAT,1604109.31,56.81,9113573.08,2021,5.681,5.681391550554618
JAWA TENGAH,1696712.36,56.69,9618656.81,2021,5.669,5.668996723758174
JAWA TIMUR,1747481.2,56.02,9789587.67,2021,5.602,5.602113298844073
SULAWESI SELATAN,985158.23,51.67,5090637.23,2021,5.167,5.167329546645518
SUMATERA SELATAN,513378.2,54.06,2775069.0,2022,5.406000000000001,5.405506116153743
JAWA BARAT,1662404.0,56.75,9433723.0,2022,5.675,5.67474753429371
JAWA TENGAH,1688670.0,55.41,9356445.0,2022,5.5409999999999995,5.540718435218249
JAWA TIMUR,1693211.0,56.26,9526516.0,2022,5.6259999999999994,5.626301742665268
SULAWESI SELATAN,1038084.0,51.64,5360169.0,2022,5.164,5.163521449131284
SUMATERA SELATAN,504143.03,56.19,2832773.92,2023,5.619,5.618988563622509
JAWA BARAT,1583656.28,57.71,9140039.2,2023,5.771,5.771479149503325
JAWA TENGAH,1642761.23,55.3,9084107.53,2023,5.529999999999999,5.5297795955410995
JAWA TIMUR,1698083.31,57.19,9710661.33,2023,5.718999999999999,5.7186012445997125
SULAWESI SELATAN,967790.21,50.39,4876386.11,2023,5.039,5.0386809657849305
SUMATERA SELATAN,521092.21,55.83,2909411.67,2024,5.583,5.583295267453719
JAWA BARAT,1475362.09,58.47,8626879.91,2024,5.8469999999999995,5.847296720224118
JAWA TENGAH,1554777.14,57.19,8891297.05,2024,5.718999999999999,5.718695510277442
JAWA TIMUR,1616985.05,57.33,9270435.29,2024,5.733,5.73316079205556
SULAWESI SELATAN,951308.6,50.65,4818429.39,2024,5.0649999999999995,5.065053958305433
